cik,Fiscal Year Month,Fiscal Year Day,Fiscal  Year,Accelerated Filer (Yes/No),Shell company,Public Float Month,Public Float Day,Public Float Year,Public Float,Managements Report (Yes/No),gvkey,,Note: This data comes from company 10K filings collected through EDGAR. 
908598,12,31,2001,,,3,21,2002,21523000,,28712,,
908598,12,31,2002,0,,6,28,2002,11460000,,28712,,
908598,12,31,2003,0,,6,30,2003,13931000,,28712,,
908598,12,31,2004,0,,6,30,2004,68161000,0,28712,,
908598,12,31,2005,0,0,6,30,2005,26437000,0,28712,,
819527,3,31,2001,,,7,6,2001,35175961,,13864,,
819527,3,31,2002,,,6,27,2002,31844573,,13864,,
819527,3,31,2003,0,,9,30,2002,20177131,,13864,,
819527,3,31,2004,0,,9,30,2003,18284935,,13864,,
819527,3,31,2005,0,,9,30,2004,9041667,,13864,,
819527,3,31,2006,0,0,9,30,2005,14610399,0,13864,,
69733,3,31,2001,,,6,6,2001,23315166,,7696,,
69733,3,31,2002,,,6,7,2002,24399888,,7696,,
69733,3,31,2003,0,,6,6,2003,19479901,,7696,,
69733,3,31,2004,0,,9,28,2003,23747000,,7696,,
69733,3,31,2005,0,,9,26,2004,32148000,0,7696,,
69733,3,31,2006,0,0,9,25,2005,42741000,0,7696,,
884144,7,31,2001,,,10,10,2001,48441432,,25138,,
884144,7,31,2002,,,10,21,2002,32873397,,25138,,
884144,7,31,2003,0,,1,31,2003,30749744,,25138,,
884144,7,31,2004,0,,1,30,2004,56709850,0,25138,,
884144,7,31,2005,0,0,1,31,2005,43956217,0,25138,,
884144,7,31,2006,0,0,1,31,2006,61443851,0,25138,,
858452,12,31,2001,,,2,28,2002,4383689,,20202,,
858452,12,31,2002,0,,2,6,2003,5190614,,20202,,
858452,12,31,2003,0,,6,30,2003,15849990,,20202,,
858452,12,31,2004,0,,6,30,2004,17417671,0,20202,,
858452,12,31,2005,0,0,6,30,2005,16586320,0,20202,,
1040470,5,31,2001,,,7,31,2001,25896000,,65286,,
1040470,5,31,2002,,,7,31,2002,24524000,,65286,,
1040470,5,31,2003,0,,7,31,2003,22937000,,65286,,
1040470,5,31,2004,0,,7,30,2004,21725000,,65286,,
1040470,5,31,2005,0,,7,29,2005,16452000,0,65286,,
1040470,5,31,2006,0,0,7,31,2006,46712000,0,65286,,
911149,12,31,2001,,,3,8,2002,31600000,,28983,,
911149,12,31,2002,0,,6,28,2002,21800000,,28983,,
911149,12,31,2003,0,,6,28,2003,7790000,,28983,,
911149,12,31,2004,0,,6,26,2004,12500000,0,28983,,
911149,12,31,2005,0,,6,25,2005,6100000,0,28983,,
98338,5,31,2001,,,7,31,2001,13412000,,10305,,
98338,5,31,2002,,,7,31,2002,13305000,,10305,,
98338,5,31,2003,0,,11,30,2002,12400000,,10305,,
98338,5,31,2004,0,,11,30,2003,17973000,,10305,,
98338,5,31,2005,0,,11,30,2004,18186000,0,10305,,
98338,5,31,2006,0,0,11,30,2005,13128000,0,10305,,
1072978,3,31,2001,,,6,15,2001,37105115,,118738,,
1072978,3,31,2002,,,6,25,2002,23099138,,118738,,
1072978,3,31,2003,0,,9,30,2002,13815328,,118738,,
1072978,3,31,2004,0,,9,30,2003,17858326,0,118738,,
1072978,3,31,2005,0,,6,15,2005,17596979,0,118738,,
1072978,,,2006,,,,,,,,118738,,
75340,12,31,2001,,,3,28,2002,15568000,,8229,,
75340,12,31,2002,0,,6,30,2002,14642000,,8229,,
75340,12,31,2003,0,,6,30,2003,14169000,,8229,,
75340,12,31,2004,0,,6,30,2004,14169000,0,8229,,
75340,12,31,2005,0,0,6,30,2005,36444000,0,8229,,
1019439,12,31,2001,,,3,22,2002,6100000,,65484,,
1019439,12,31,2002,0,,3,7,2003,4282000,,65484,,
1019439,12,31,2003,0,,3,1,2004,8271000,,65484,,
1019439,12,31,2004,0,,3,15,2005,17766000,0,65484,,
1019439,12,31,2005,0,0,6,30,2005,15873000,0,65484,,
109471,1,31,2001,,,4,28,2001,44752000,,1173,,
109471,1,31,2002,,,4,24,2002,67892000,,1173,,
109471,1,31,2003,0,,7,31,2002,62553984,,1173,,
109471,1,31,2004,0,,7,31,2003,24845000,,1173,,
109471,1,31,2005,0,,7,31,2004,10990000,0,1173,,
109471,1,31,2006,0,0,7,31,2005,22437000,0,1173,,
912926,12,31,2001,,,,,,,,142909,,
912926,12,31,2002,,,,,,,,142909,,
912926,12,31,2003,0,,3,3,2004,25000000,,142909,,
912926,12,31,2004,0,,,,,4840000,0,142909,,
912926,12,31,2005,,,,,,,,142909,,
909494,12,31,2001,,,3,26,2002,12700000,,62723,,
909494,12,31,2002,0,,6,28,2002,30000000,,62723,,
909494,12,31,2003,0,,6,30,2003,20000000,,62723,,
909494,12,31,2004,0,,6,30,2004,25300000,0,62723,,
909494,12,31,2005,0,0,6,30,2005,42800000,0,62723,,
863680,12,31,2001,,,3,29,2002,32343786,,62960,,
863680,12,31,2002,0,,6,28,2002,26581683,,62960,,
863680,12,31,2003,0,,6,30,2003,23865274,,62960,,
863680,12,31,2004,0,,6,30,2004,19920658,0,62960,,
863680,12,31,2005,0,0,6,30,2005,20578449,0,62960,,
896747,12,31,2001,,,4,9,2002,13154000,,21136,,
896747,12,31,2002,0,,5,25,2003,802935,,21136,,
896747,12,31,2003,0,,5,4,2004,17574848,,21136,,
896747,12,31,2004,0,,3,24,2005,16341237,0,21136,,
896747,12,31,2005,0,0,3,27,2006,17384816,0,21136,,
1169237,12,31,2001,,,3,21,2002,,,1669,,
1169237,12,31,2002,1,,6,30,2002,25369314,,1669,,
1169237,12,31,2003,0,,12,31,2003,30425422,,1669,,
1169237,12,31,2004,0,,6,30,2004,31914591,0,1669,,
1169237,12,31,2005,0,0,6,30,2005,24468257,0,1669,,
893813,7,31,2001,,,10,12,2001,43240518,,61296,,
893813,7,31,2002,0,,10,11,2002,21203291,,61296,,
893813,7,31,2003,0,,1,31,2003,28941042,,61296,,
893813,7,31,2004,0,,1,31,2004,24326290,,61296,,
893813,12,31,2005,0,0,3,8,2006,10255766,0,61296,,
849240,12,31,2001,,,3,15,2002,22296597,,66050,,
849240,12,31,2002,0,,6,28,2002,39945687,,66050,,
849240,12,31,2003,0,,6,30,2003,19469887,,66050,,
849240,12,31,2004,0,,6,30,2004,40374673,0,66050,,
849240,12,31,2005,0,0,6,30,2005,70222862,0,66050,,
1085869,12,31,2001,,,3,6,2002,6146012,,122394,,
1085869,12,31,2002,0,,3,24,2003,6798119,,122394,,
1085869,12,31,2003,0,,3,29,2004,49101598,,122394,,
1085869,12,31,2004,0,,2,28,2005,172091616,0,122394,,
1085869,12,31,2005,1,0,6,30,2005,144400000,1,122394,,
916314,7,31,2001,,,9,30,2001,5796000,,29692,,
916314,7,31,2002,,,9,30,2002,8987000,,29692,,
916314,7,31,2003,0,,9,30,2003,8431000,,29692,,
916314,7,31,2004,0,,10,1,2004,13700000,,29692,,
916314,,,2005,,,,,,,,29692,,
916314,,,2006,,,,,,,,29692,,
911673,12,31,2001,,,2,28,2002,13910000,,29075,,
911673,12,31,2002,0,,6,28,2002,16066000,,29075,,
911673,12,31,2003,0,,6,30,2003,29000000,,29075,,
911673,12,31,2004,0,,6,30,2004,36500000,0,29075,,
911673,12,31,2005,0,0,6,30,2005,36666000,0,29075,,
719447,12,31,2001,,,3,6,2002,21138841,,5798,,
719447,12,31,2002,0,,6,28,2002,25788769,,5798,,
719447,12,31,2003,0,,6,30,2003,33045051,,5798,,
719447,,,2004,,,,,,,,5798,,
719447,,,2005,,,,,,,,5798,,
852426,12,31,2001,,,3,20,2002,26849000,,15242,,
852426,12,31,2002,0,,6,28,2002,32600000,,15242,,
852426,12,31,2003,0,,6,30,2003,22137000,,15242,,
852426,12,31,2004,0,,6,30,2004,18897000,0,15242,,
852426,12,31,2005,0,0,6,30,2005,40997423,0,15242,,
920317,12,31,2001,,,3,25,2002,22900000,,110100,,
920317,12,31,2002,0,,6,28,2002,18100000,,110100,,
920317,12,31,2003,0,,6,30,2003,23600000,,110100,,
920317,12,31,2004,0,,12,31,2004,329245,,110100,,
920317,9,30,2006,,,,,,,,110100,,
839621,12,31,2001,,,3,22,2002,39002794,,24840,,
839621,12,31,2002,0,,6,30,2002,41074000,,24840,,
839621,12,31,2003,0,,6,30,2003,52003500,,24840,,
839621,12,31,2004,0,,6,30,2004,11840698,0,24840,,
839621,12,31,2005,0,0,6,30,2005,3624000,0,24840,,
1060595,11,30,2001,,,2,1,2002,20212239,,122233,,
1060595,11,27,2002,0,,2,28,2003,6904770,,122233,,
1060595,11,27,2003,0,,5,31,2003,12024289,,122233,,
1060595,,,2004,,,,,,,,122233,,
1060595,,,2005,,,,,,,,122233,,
761237,12,31,2001,,,3,15,2002,11460506,,66242,,
761237,12,31,2002,0,,6,28,2002,27738961,,66242,,
761237,12,31,2003,0,,3,30,2004,8483000,,66242,,
761237,12,31,2004,0,,3,23,2005,4483932,0,66242,,
761237,12,31,2005,0,,3,31,2006,230802,0,66242,,
731657,12,31,2001,0,,2,28,2002,8622772,,9954,,
731657,12,31,2002,0,,2,28,2003,10326577,,9954,,
731657,12,31,2003,0,,3,1,2004,19233188,,9954,,
731657,12,31,2004,0,,3,1,2005,23213314,0,9954,,
731657,12,31,2005,0,0,3,1,2006,46186000,0,9954,,
822746,12,31,2001,,,3,15,2002,46865328,,23561,,
822746,12,31,2002,,,3,20,2003,55112000,,23561,,
822746,12,31,2003,0,,6,30,2003,49456971,,23561,,
822746,12,31,2004,0,,6,30,2004,31600000,0,23561,,
822746,12,31,2005,1,0,6,30,2005,105000000,1,23561,,
917126,10,31,2001,,,11,27,2001,16366120,,29818,,
917126,10,31,2002,0,,11,27,2002,24692266,,29818,,
917126,10,26,2003,0,,5,11,2003,15738329,,29818,,
917126,10,31,2004,0,,5,9,2004,17363884,0,29818,,
917126,,,2005,,,,,,,,29818,,
917126,,,2006,,,,,,,,29818,,
810084,3,31,2001,,,6,15,2001,123439353,,14395,,
810084,12,31,2002,0,,9,30,2002,16661689,,14395,,
810084,12,31,2003,0,,6,30,2003,36166104,,14395,,
810084,12,31,2004,0,,6,30,2004,24662533,0,14395,,
810084,12,31,2005,0,0,6,30,2005,14894277,0,14395,,
798736,4,30,2001,,,7,20,2001,7182000,,12620,,
798736,4,30,2002,,,7,23,2002,8319180,,12620,,
798736,4,30,2003,0,,10,31,2002,8360393,,12620,,
798736,4,30,2004,0,,10,31,2003,23293152,,12620,,
798736,4,30,2005,0,,10,31,2004,26549037,0,12620,,
798736,4,30,2006,0,0,10,31,2005,26918167,0,12620,,
875355,12,31,2001,,,2,28,2002,82949603,,24204,,
875355,12,31,2002,0,,6,28,2002,62344000,,24204,,
875355,12,31,2003,0,,6,30,2003,55025000,,24204,,
875355,12,31,2004,0,,6,30,2004,14288000,0,24204,,
875355,12,31,2005,0,0,6,30,2005,10895000,0,24204,,
21759,10,31,2001,,,12,19,2001,18013649,,3178,,
21759,10,31,2002,0,,1,7,2003,18610258,,3178,,
21759,10,31,2003,0,,4,30,2003,16902506,,3178,,
21759,10,31,2004,0,,6,15,2005,34704201,0,3178,,
21759,,,2005,,,,,,,,3178,,
316672,12,31,2001,,,3,22,2002,10767000,,2908,,
316672,12,31,2002,0,,6,28,2002,19872133,,2908,,
316672,12,31,2003,0,,6,27,2003,35686000,,2908,,
316672,12,31,2004,0,,6,30,2004,17663000,0,2908,,
316672,,,2005,,,,,,,,2908,,
933745,12,31,2001,,,3,15,2002,16566361,,31706,,
933745,12,31,2002,0,,6,30,2002,8594414,,31706,,
933745,12,31,2003,0,,6,30,2003,29522861,,31706,,
933745,12,31,2004,0,,6,30,2004,42879000,0,31706,,
933745,,,2005,,,,,,,,31706,,
924373,12,31,2001,,,3,25,2002,12549309,,30783,,
924373,12,31,2002,0,,6,28,2002,9960000,,30783,,
924373,12,31,2003,0,,6,30,2004,7184586,,30783,,
924373,12,31,2004,0,,6,30,2004,7184586,0,30783,,
924373,12,31,2005,0,0,6,30,2005,17245885,0,30783,,
926423,1,31,2001,,,4,27,2001,45849546,,31214,,
926423,1,31,2002,,,4,29,2002,25927616,,31214,,
926423,1,31,2003,0,,7,31,2002,12339905,,31214,,
926423,1,31,2004,0,,7,31,2003,15060815,0,31214,,
926423,1,31,2005,0,,7,31,2004,28115679,0,31214,,
926423,1,31,2006,0,0,7,31,2005,73725921,0,31214,,
1089590,,,2001,,,,,,,,130298,,
1089590,12,31,2002,,,10,15,2003,1710248,,130298,,
1089590,12,31,2003,1,,6,25,2003,4181066,,130298,,
1089590,12,31,2004,0,,6,25,2004,7900000,0,130298,,
1089590,12,31,2005,0,0,6,25,2005,8270000,0,130298,,
727273,12,31,2001,,,3,26,2002,303167898,,12964,,
727273,12,31,2002,0,,6,30,2004,41050122,,12964,,
727273,12,31,2003,0,,6,30,2004,41050122,,12964,,
727273,12,31,2004,0,,6,30,2004,41050122,0,12964,,
727273,12,31,2005,1,0,6,30,2005,86942138,1,12964,,
906326,6,30,2001,,,10,8,2001,8470444,,28616,,
906326,6,30,2002,,,9,20,2002,40369375,,28616,,
906326,6,30,2003,0,,12,31,2002,33247400,,28616,,
906326,6,30,2004,0,,12,31,2003,32585000,,28616,,
906326,6,30,2005,1,0,12,31,2004,92909000,1,28616,,
906326,6,30,2006,1,0,12,31,2005,218240579,1,28616,,
1017526,6,30,2001,,,8,27,2001,8387705,,63470,,
1017526,6,30,2002,,,8,21,2002,4800000,,63470,,
1017526,6,30,2003,,,9,16,2003,14600000,,63470,,
1017526,6,30,2004,0,,12,31,2003,26727101,,63470,,
1017526,6,30,2005,0,0,12,31,2004,26100000,0,63470,,
1017526,6,30,2006,0,0,12,31,2005,45400000,0,63470,,
856569,12,31,2001,,,3,22,2002,52661481,,22507,,
856569,12,31,2002,0,,3,17,2003,16433394,,22507,,
856569,12,31,2003,0,,6,30,2003,21265385,,22507,,
856569,12,31,2004,0,,6,30,2004,39435533,0,22507,,
856569,12,31,2005,0,0,6,30,2005,25567682,0,22507,,
1099290,12,31,2001,,,4,17,2002,16332563,,116393,,
1099290,12,31,2002,0,,2,28,2003,1393586,,116393,,
1099290,12,31,2003,0,,3,22,2004,50289989,,116393,,
1099290,12,31,2004,0,,3,15,2005,39291105,0,116393,,
1099290,12,31,2005,0,,3,15,2006,20976008,0,116393,,
1022701,12,31,2001,,,3,13,2002,9694000,,64041,,
1022701,12,31,2002,,,3,30,2003,619000,,64041,,
1022701,12,31,2003,0,,1,30,2004,20676000,,64041,,
1022701,12,31,2004,0,,1,31,2005,89000000,0,64041,,
1022701,12,31,2005,0,0,2,28,2006,210089000,0,64041,,
880460,2,3,2001,,,4,20,2001,3959321,,24776,,
880460,2,2,2002,,,4,24,2002,3100000,,24776,,
880460,2,1,2003,0,,8,3,2002,5900000,,24776,,
880460,1,31,2004,0,,8,2,2003,8900000,,24776,,
880460,1,31,2005,0,,7,31,2004,10600000,0,24776,,
880460,1,31,2006,0,0,7,30,2005,17700000,0,24776,,
26820,12,31,2001,,,3,8,2002,6561105,,5327,,
26820,12,31,2002,0,,6,28,2002,3931554,,5327,,
26820,12,31,2003,0,,6,28,2003,11250415,,5327,,
26820,1,1,2005,0,,6,26,2004,37613504,0,5327,,
26820,12,31,2005,0,0,7,2,2005,36111000,0,5327,,
706471,10,31,2001,,,12,31,2001,12699995,,7132,,
706471,10,31,2002,,,12,31,2002,14773503,,7132,,
706471,10,31,2003,0,,12,31,2003,24213279,,7132,,
706471,10,31,2004,0,,5,9,2004,32288000,,7132,,
706471,10,31,2005,0,0,5,15,2005,29261000,0,7132,,
706471,10,31,2006,0,,5,14,2006,16586000,0,7132,,
891288,12,31,2001,,,3,15,2002,46305102,,25906,,
891288,12,31,2002,0,,6,30,2002,40457260,,25906,,
891288,12,31,2003,0,,6,30,2003,31217565,,25906,,
891288,12,31,2004,0,,6,30,2004,29968055,0,25906,,
891288,12,31,2005,0,0,6,30,2005,22705407,0,25906,,
810876,12,31,2001,,,3,7,2002,8026000,,13219,,
810876,12,31,2002,0,,3,7,2003,7362670,0,13219,,
810876,12,31,2003,0,,6,30,2003,7362670,0,13219,,
810876,,,2004,,,,,,,,13219,,
810876,,,2005,,,,,,,,13219,,
1070699,12,31,2001,,,2,28,2002,126880968,,133049,,
1070699,12,31,2002,0,,6,30,2002,10519283,,133049,,
1070699,12,31,2003,0,,6,30,2003,26602573,0,133049,,
1070699,,,2004,,,,,,,,133049,,
1070699,,,2005,,,,,,,,133049,,
61398,6,30,2001,,,9,20,2001,22917000,,6936,,
61398,6,30,2002,,,9,23,2002,19548000,,6936,,
61398,6,30,2003,0,,12,31,2002,20724000,,6936,,
61398,6,30,2004,0,,12,31,2003,33453370,,6936,,
61398,6,30,2005,0,0,12,31,2004,33453370,0,6936,,
61398,6,30,2006,0,0,12,30,2005,44975656,0,6936,,
948708,12,31,2001,,,3,12,2002,7685160,,61321,,
948708,12,31,2002,0,,6,28,2002,7432158,,61321,,
948708,12,31,2003,0,,6,30,2003,19300200,,61321,,
948708,12,31,2004,0,,6,30,2004,15151026,0,61321,,
948708,12,31,2005,0,0,6,30,2005,63670654,0,61321,,
1095315,12,31,2001,,,6,15,2001,18453874,,126718,,
1095315,12,31,2002,,,6,30,2002,9091636,,126718,,
1095315,12,31,2003,0,,6,30,2003,11794477,,126718,,
1095315,12,31,2004,0,,6,30,2004,28916890,0,126718,,
1095315,12,31,2005,0,0,6,30,2005,38419950,0,126718,,
1041024,12,31,2001,,,3,22,2002,17223478,,66366,,
1041024,12,31,2002,0,,3,21,2003,10308227,,66366,,
1041024,12,31,2003,0,,2,27,2004,23754016,,66366,,
1041024,12,31,2004,0,,3,7,2005,26783000,0,66366,,
1041024,12,31,2005,0,,3,3,2006,45539511,0,66366,,
19149,10,31,2001,,,1,11,2002,14008263,,26900,,
19149,10,31,2002,0,,1,10,2003,14703893,,26900,,
19149,10,31,2003,0,,1,9,2004,20867804,,26900,,
19149,10,31,2004,0,,1,7,2005,16879748,0,26900,,
19149,10,31,2005,0,0,1,6,2006,19697365,0,26900,,
19149,10,31,2006,0,0,8,30,2006,28720863,0,26900,,
1019787,12,31,2001,,,3,22,2001,18417100,,64511,,
1019787,12,31,2002,0,,3,21,2003,11105000,,64511,,
1019787,12,31,2003,0,,3,22,2004,11196500,,64511,,
1019787,12,31,2004,0,,3,31,2005,6753351,0,64511,,
1019787,12,31,2005,0,0,4,3,2006,10791676,0,64511,,
1025743,1,31,2001,,,4,16,2001,14479806,,64433,,
1025743,1,31,2002,,,4,26,2002,15642604,,64433,,
1025743,1,31,2003,0,,7,31,2002,16400000,,64433,,
1025743,1,31,2004,0,,7,31,2003,11300000,,64433,,
1025743,1,31,2005,0,,7,31,2004,16300000,0,64433,,
1025743,1,31,2006,0,0,7,31,2005,13700000,0,64433,,
812121,6,30,2001,,,8,31,2001,34866000,,13332,,
812121,6,30,2002,,,8,31,2002,31820000,,13332,,
812121,6,30,2003,0,,12,31,2002,28387817,,13332,,
812121,6,30,2004,0,,12,31,2003,37562335,,13332,,
812121,6,30,2005,0,0,12,31,2004,33055024,0,13332,,
812121,6,30,2006,0,0,12,31,2005,57552011,0,13332,,
42228,5,31,2001,,,8,3,2001,17797239,,5210,,
42228,5,31,2002,,,8,12,2002,17904634,,5210,,
42228,5,31,2003,0,,8,8,2003,11155451,,5210,,
42228,5,31,2004,0,,8,6,2004,11487987,,5210,,
42228,6,3,2005,0,,8,5,2005,23310014,0,5210,,
42228,6,2,2006,0,0,8,4,2006,17470091,0,5210,,
833845,12,31,2001,,,3,22,2002,11239349,,25655,,
833845,12,31,2002,0,,6,28,2002,8503000,,25655,,
833845,12,31,2003,0,,6,30,2003,46802000,,25655,,
833845,12,31,2004,0,,6,30,2004,34088746,0,25655,,
833845,12,31,2005,0,0,6,30,2005,30761000,0,25655,,
82788,12,31,2001,,,3,21,2002,10247205,,9013,,
82788,12,31,2002,1,,3,26,2003,2355819,,9013,,
82788,12,31,2003,0,,3,23,2004,3114403,,9013,,
82788,12,31,2004,0,,6,30,2004,3114403,,9013,,
82788,12,31,2005,0,0,6,30,2005,4301073,0,9013,,
865415,6,30,2001,,,9,10,2001,44973291,,61726,,
865415,6,30,2002,,,9,9,2002,7417948,,61726,,
865415,6,30,2003,0,,12,27,2002,7260689,,61726,,
865415,6,30,2004,0,,12,27,2003,16720644,,61726,,
865415,6,30,2005,0,0,1,1,2005,28894536,0,61726,,
865415,6,30,2006,0,0,12,31,2005,46750266,0,61726,,
930095,12,31,2001,,,3,25,2002,41367280,,140024,,
930095,12,31,2002,0,,6,28,2002,36871898,,140024,,
930095,12,31,2003,0,,6,30,2003,27375925,,140024,,
930095,12,31,2004,0,,6,30,2004,14540562,0,140024,,
930095,12,31,2005,0,0,6,30,2005,14229868,0,140024,,
1093207,10,31,2001,,,1,2,2002,20900000,,125276,,
1093207,10,31,2002,0,,4,30,2002,60600000,,125276,,
1093207,10,31,2003,0,,4,30,2003,24100000,,125276,,
1093207,10,31,2004,0,,4,30,2004,43400000,0,125276,,
1093207,,,2005,,,,,,,,125276,,
1093207,,,2006,,,,,,,,125276,,
922865,12,31,2001,,,3,15,2002,10244508,,30423,,
922865,12,31,2002,0,,6,28,2002,12842901,,30423,,
922865,12,31,2003,0,,6,30,2003,11511361,,30423,,
922865,,,2004,,,,,,,,30423,,
922865,,,2005,,,,,,,,30423,,
886206,8,31,2001,,,11,1,2001,49486933,,25331,,
886206,8,31,2002,,,11,22,2002,30958428,,25331,,
886206,8,31,2003,0,,2,28,2003,14087150,,25331,,
886206,8,31,2004,0,,2,27,2004,44431843,,25331,,
886206,8,31,2005,0,0,2,25,2005,40623127,0,25331,,
886206,8,31,2006,1,0,2,28,2006,126300000,1,25331,,
1100917,12,31,2001,,,3,1,2002,11977200,,132482,,
1100917,12,31,2002,0,,6,28,2002,7084179,,132482,,
1100917,12,31,2003,0,,6,30,2003,14041838,,132482,,
1100917,12,31,2004,0,,6,30,2004,33718186,0,132482,,
1100917,12,31,2005,0,0,6,30,2005,26831351,0,132482,,
719733,6,30,2001,,,6,30,2001,19619967,,6416,,
719733,6,29,2002,,,6,29,2002,9564388,,6416,,
719733,6,28,2003,0,,12,28,2002,10470911,,6416,,
719733,7,3,2004,0,,12,27,2003,21281076,,6416,,
719733,7,2,2005,0,0,1,1,2005,23711973,0,6416,,
719733,7,1,2006,0,0,12,31,2005,21700000,0,6416,,
76954,6,30,2001,,,9,21,2001,48800000,,8423,,
76954,6,30,2002,,,9,25,2002,20600000,,8423,,
76954,6,30,2003,0,,12,31,2002,19700000,,8423,,
76954,6,30,2004,0,,12,31,2003,31100000,,8423,,
76954,6,30,2005,0,,12,31,2004,37500000,0,8423,,
76954,6,30,2006,0,0,12,31,2005,52000000,0,8423,,
1112880,12,31,2001,,,2,25,2002,26713884,,137801,,
1112880,12,31,2002,0,,6,28,2002,21900000,,137801,,
1112880,12,31,2003,0,,6,30,2003,25000000,,137801,,
1112880,12,31,2004,0,,6,30,2004,27000000,0,137801,,
1112880,,,2005,,,,,,,,137801,,
742550,10,31,2001,,,12,31,2001,39252374,,13443,,
742550,10,31,2002,0,,4,30,2002,39692529,,13443,,
742550,10,31,2003,0,,4,30,2003,17317620,,13443,,
742550,10,31,2004,0,,4,30,2004,40274172,,13443,,
742550,10,31,2005,0,0,4,30,2005,23966520,0,13443,,
742550,10,31,2006,0,0,4,28,2006,19133153,0,13443,,
1053369,3,31,2001,,,5,30,2001,57844052,,106261,,
1053369,3,31,2002,,,6,21,2002,37072520,,106261,,
1053369,3,31,2003,0,,9,30,2002,33642000,,106261,,
1053369,3,31,2004,0,,6,3,2004,26137608,,106261,,
1053369,3,31,2005,0,,6,20,2005,51126066,0,106261,,
1053369,3,31,2006,0,0,6,26,2006,27141156,0,106261,,
930796,12,28,2001,,,3,1,2002,19840904,,31009,,
930796,1,3,2003,0,,6,28,2002,20681620,,31009,,
930796,1,2,2004,0,,6,30,2003,19493714,,31009,,
930796,12,31,2004,0,,7,2,2004,23836726,0,31009,,
930796,,,2005,,,,,,,,31009,,
1003607,9,30,2001,,,12,19,2001,9909482,,124355,,
1003607,9,30,2002,,,12,19,2002,6056868,,124355,,
1003607,9,30,2003,0,,3,31,2003,9751820,,124355,,
1003607,9,30,2004,0,,3,31,2004,46327048,,124355,,
1003607,9,30,2005,0,0,3,31,2005,38040121,0,124355,,
1003607,9,30,2006,0,0,3,31,2006,"25,115,81",0,124355,,
785557,9,30,2001,,,1,8,2002,60344000,,12304,,
785557,9,30,2002,,,3,31,2002,50445000,,12304,,
785557,9,30,2003,0,,3,31,2003,29446000,,12304,,
785557,9,30,2004,0,,3,31,2004,22545000,,12304,,
785557,9,30,2005,0,0,3,31,2005,12327000,0,12304,,
785557,9,30,2006,0,0,3,31,2006,26241000,0,12304,,
895329,9,30,2001,,,12,24,2001,12958062,,29616,,
895329,9,30,2002,,,12,26,2002,6981425,,29616,,
895329,9,30,2003,0,,3,31,2003,11431999,,29616,,
895329,9,30,2004,0,,3,31,2004,15134208,,29616,,
895329,9,30,2005,0,0,3,31,2005,12355626,0,29616,,
895329,9,30,2006,0,0,3,31,2006,13306870,0,29616,,
98618,6,30,2001,,,9,7,2001,9592300,,1228,,
98618,6,30,2002,,,7,29,2002,10685100,,1228,,
98618,6,30,2003,0,,9,26,2003,8430600,,1228,,
98618,6,30,2004,0,,9,21,2004,26727600,,1228,,
98618,6,30,2005,0,,9,19,2005,22202300,0,1228,,
98618,6,30,2006,0,,9,22,2006,18006500,0,1228,,
886530,12,31,2001,,,2,28,2002,15998855,,63018,,
886530,12,31,2002,0,,6,30,2002,13332380,,63018,,
886530,12,31,2003,0,,6,30,2003,18703089,,63018,,
886530,12,31,2004,0,,6,30,2004,71821666,0,63018,,
886530,12,31,2005,1,0,6,30,2005,109271443,1,63018,,
713492,3,31,2001,,,6,12,2001,22114000,,2903,,
713492,3,31,2002,,,6,14,2002,30189000,,2903,,
713492,3,31,2003,,,6,16,2003,17532000,,2903,,
713492,3,31,2004,0,,9,30,2003,20086000,,2903,,
713492,3,31,2005,0,,9,30,2004,40938000,0,2903,,
713492,3,31,2006,0,0,3,31,2006,21788000,0,2903,,
1025573,12,31,2001,,,3,15,2002,23100000,,112720,,
1025573,12,31,2002,0,,6,28,2002,18600000,,112720,,
1025573,12,31,2003,0,,6,30,2003,29900000,,112720,,
1025573,12,31,2004,0,,6,30,2004,19900000,0,112720,,
1025573,12,31,2005,0,0,6,30,2005,19900000,0,112720,,
921878,12,31,2001,,,6,18,2001,19600812,,31096,,
921878,3,31,2002,0,,6,17,2002,10010301,,31096,,
921878,12,31,2003,0,,9,30,2002,4833000,,31096,,
921878,12,31,2004,0,,6,30,2004,28716032,0,31096,,
921878,12,31,2005,0,0,7,2,2005,31266865,0,31096,,
1066138,12,31,2001,,,3,15,2002,1634865,,9614,,
1066138,12,31,2002,0,,3,27,2003,12260650,,9614,,
1066138,12,31,2003,0,,3,1,2004,24444812,,9614,,
1066138,12,31,2004,1,,6,30,2004,228955984,1,9614,,
1066138,12,31,2005,1,0,6,30,2005,252271879,1,9614,,
1024441,2,3,2001,,,3,27,2001,79688,,64154,,
1024441,2,2,2002,,,3,20,2002,478128,,64154,,
1024441,2,1,2003,0,,8,3,2002,8894000,,64154,,
1024441,1,31,2004,0,,8,2,2003,20466000,,64154,,
1024441,1,29,2005,0,,7,31,2004,29421000,0,64154,,
1024441,1,28,2006,0,0,7,30,2005,26356760,0,64154,,
946454,12,31,2001,,,2,28,2002,5300000,,61285,,
946454,12,31,2002,0,,6,28,2002,6900000,,61285,,
946454,12,31,2003,0,,6,30,2003,9300000,,61285,,
946454,12,31,2004,0,,6,30,2004,39100000,0,61285,,
946454,12,31,2005,0,0,6,30,2005,51800000,0,61285,,
